,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
50,The Sweet Escape,The Sweet Escape,Gwen Stefani,2006-01-01,246466,74,0.756,0.191,0.77,0.0,0.178,-3.502,0.0343,119.961,4
51,Hollaback Girl,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,199853,72,0.926,0.35,0.916,6.17e-06,0.0234,-2.221,0.0929,110.007,4
52,Let Me Blow Ya Mind,Scorpion,Eve,2001-01-01,230133,77,0.908,0.242,0.557,0.0,0.0709,-4.243,0.107,90.032,4
53,Hollaback Girl,Hollaback Girl,Gwen Stefani,2005-03-22,200760,46,0.925,0.387,0.918,8.64e-06,0.0271,-2.329,0.0938,110.037,4
54,Luxurious,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,264920,65,0.811,0.154,0.726,0.0,0.116,-3.995,0.0813,131.027,4
55,Nobody But You (Duet with Gwen Stefani),Fully Loaded: God's Country,Blake Shelton,2019-12-13,194866,68,0.463,0.111,0.653,0.000136,0.172,-5.515,0.0273,143.912,4
56,What You Waiting For?,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,221226,59,0.676,0.0509,0.948,8.19e-06,0.384,-2.557,0.0628,136.027,4
57,Rich Girl,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,236213,67,0.856,0.0294,0.754,1.49e-05,0.206,-2.728,0.0416,98.018,4
58,Cool,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,189333,58,0.709,0.0322,0.721,0.000309,0.355,-3.52,0.0281,112.019,4
59,What You Waiting For?,Love Angel Music Baby - 15th Anniversary Edition,Gwen Stefani,2019-11-22,221226,46,0.675,0.0487,0.959,6.92e-06,0.513,-2.104,0.0704,136.042,4
60,Happy Anywhere (feat. Gwen Stefani),Body Language,Blake Shelton,2021-05-21,171026,66,0.606,0.134,0.737,0.0,0.057,-5.745,0.0321,82.966,4
61,4 In The Morning,The Sweet Escape,Gwen Stefani,2006-01-01,291106,49,0.698,0.2,0.826,0.00013,0.114,-6.261,0.031,92.409,4
62,Bubble Pop Electric,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,222360,63,0.566,0.000527,0.976,0.00265,0.114,-3.866,0.262,193.979,4
63,Move Your Feet / D.A.N.C.E. / It's A Sunshine Day,TROLLS (Original Motion Picture Soundtrack),Trolls,2016-09-23,156493,64,0.706,0.00613,0.82,0.00186,0.0488,-4.469,0.0562,118.951,4
64,Luxurious,Love Angel Music Baby - 15th Anniversary Edition,Gwen Stefani,2019-11-22,264920,43,0.815,0.134,0.727,0.0,0.116,-3.989,0.0695,131.054,4
65,Wind It Up,The Sweet Escape,Gwen Stefani,2006-01-01,189586,51,0.961,0.309,0.9,0.000199,0.354,-6.874,0.0678,120.006,4
66,Hair Up,TROLLS (Original Motion Picture Soundtrack),Trolls,2016-09-23,178360,61,0.687,0.0106,0.58,7.65e-06,0.0935,-8.103,0.0483,150.055,4
67,Make Me Like You,This Is What The Truth Feels Like,Gwen Stefani,2016-04-01,216946,48,0.741,0.0403,0.714,1.58e-05,0.127,-4.739,0.0476,118.036,4
68,Kings Never Die,Southpaw (Music From And Inspired By The Motion Picture),Various Artists,2015-07-24,296133,62,0.771,0.0275,0.896,0.0,0.204,-5.289,0.129,112.505,3
69,Hollaback Girl,Love Angel Music Baby - 15th Anniversary Edition,Gwen Stefani,2019-11-22,199906,41,0.919,0.344,0.917,5.54e-06,0.0243,-2.243,0.0972,110.029,4
70,Rich Girl,Love Angel Music Baby - 15th Anniversary Edition,Gwen Stefani,2019-11-22,236213,48,0.856,0.027,0.748,3.11e-05,0.184,-2.719,0.0425,98.02,4
71,The Sweet Escape,Cultura Pop,Various Artists,2023-05-19,246466,0,0.756,0.194,0.769,0.0,0.179,-3.502,0.0344,119.958,4
72,Used To Love You,This Is What The Truth Feels Like,Gwen Stefani,2016-04-01,227680,40,0.623,0.0183,0.654,1.73e-06,0.398,-5.408,0.0674,96.017,4
73,Hollaback Girl,Låtar till möhippan,Various Artists,2023-05-18,199853,0,0.926,0.35,0.916,6.01e-06,0.0234,-2.221,0.0929,110.009,4
74,Don't Speak,Tragic Kingdom,No Doubt,1995-10-10,263560,79,0.52,0.247,0.709,1.78e-05,0.18,-7.125,0.0352,76.039,4
75,Used To Love You,This Is What The Truth Feels Like (Deluxe),Gwen Stefani,2016-03-18,227680,41,0.623,0.0183,0.654,1.7e-06,0.398,-5.408,0.0674,96.017,4
76,Rich Girl,Festlåtar till bröllopet,Various Artists,2023-05-16,236213,0,0.856,0.0292,0.746,1.53e-05,0.206,-2.728,0.042,98.018,4
77,Cool,Love Angel Music Baby - 15th Anniversary Edition,Gwen Stefani,2019-11-22,189280,39,0.707,0.0372,0.734,0.000391,0.356,-3.279,0.0281,112.024,4
78,The Sweet Escape,Throwback Summer,Various Artists,2023-05-24,246466,0,0.756,0.194,0.769,0.0,0.179,-3.502,0.0344,119.958,4
79,Crash,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,246613,40,0.785,0.0192,0.929,0.0,0.873,-1.635,0.0424,126.23,4
80,Now That You Got It,Femme Power Pop Hits,Various Artists,2023-05-25,179933,0,0.779,0.0748,0.702,2.73e-06,0.148,-4.014,0.217,98.476,4
81,Harajuku Girls,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,290520,39,0.876,0.109,0.821,0.0,0.114,-4.402,0.0651,114.013,4
82,The Sweet Escape - Konvict Remix,The Sweet Escape (Konvict Remix),Gwen Stefani,2007-01-01,241906,48,0.84,0.0122,0.676,0.0,0.137,-6.953,0.0627,119.975,4
83,Kings Never Die (feat. Gwen Stefani),Curtain Call 2,Eminem,2022-08-05,297013,57,0.778,0.0268,0.891,0.0,0.184,-5.319,0.126,112.441,3
84,Now That You Got It,The Sweet Escape,Gwen Stefani,2006-01-01,179933,35,0.778,0.0741,0.702,2.71e-06,0.148,-4.014,0.217,98.498,4
85,Gwen Stefani,Gwen Stefani,A-Star,2023-04-06,230500,33,0.866,0.17,0.666,0.00199,0.0604,-8.789,0.175,126.986,4
86,Early Winter,The Sweet Escape,Gwen Stefani,2006-01-01,284786,38,0.602,0.0957,0.805,0.0032,0.151,-5.933,0.0316,111.997,4
87,Go Ahead and Break My Heart (feat. Gwen Stefani),If I'm Honest,Blake Shelton,2016-05-20,263800,50,0.618,0.0714,0.731,5.05e-05,0.421,-5.181,0.0321,116.008,4
88,The Sweet Escape,The Sweet Escape,Gwen Stefani,2006-01-01,246466,43,0.756,0.191,0.77,0.0,0.178,-3.502,0.0343,119.961,4
89,Light My Fire (feat. Gwen Stefani & Shenseea),Scorcha,Sean Paul,2022-05-27,202533,58,0.569,0.0108,0.805,0.0,0.0953,-4.619,0.257,178.079,4
90,It's My Life,The Singles Collection,No Doubt,2003-01-01,225866,63,0.606,0.00264,0.75,0.000788,0.321,-4.535,0.0306,126.316,4
91,Saw Red,Second-Hand Smoke,Sublime,1997-11-11,118693,41,0.524,0.00419,0.821,0.154,0.369,-6.519,0.124,109.086,4
92,Gwen Stefani,NRG 105,Knucks,2019-06-10,182596,34,0.851,0.0338,0.52,0.000239,0.286,-7.686,0.197,107.631,4
93,Hollaback Girl (Made Popular By Gwen Stefani) [Vocal Version],Party Tyme Karaoke - Pop Party Pack 2 (Vocal Versions),Party Tyme Karaoke,2019-12-13,200087,1,0.893,0.13,0.725,0.261,0.0254,-7.999,0.0485,109.994,4
94,Rare,This Is What The Truth Feels Like,Gwen Stefani,2016-04-01,234720,32,0.651,0.00149,0.785,4.82e-05,0.125,-5.4,0.0332,106.075,4
95,Gwen Stefani,Gwen Stefani,Hyperclap,2020-03-20,124084,25,0.635,0.0214,0.762,0.758,0.371,-7.134,0.0424,126.098,4
96,Serious,Love Angel Music Baby - 15th Anniversary Edition,Gwen Stefani,2019-11-22,286760,26,0.789,0.126,0.826,1.57e-05,0.0355,-2.855,0.0371,109.592,4
97,Together (feat. Gwen Stefani),Motion,Calvin Harris,2014-10-31,218440,46,0.731,0.145,0.869,0.000185,0.116,-2.634,0.0409,127.971,4
98,Let Me Reintroduce Myself,Let Me Reintroduce Myself,Gwen Stefani,2020-12-07,191837,47,0.611,0.0259,0.839,0.0,0.347,-4.155,0.0569,85.992,4
99,Physical (feat. Gwen Stefani) [Mark Ronson Remix] [Mixed],Club Future Nostalgia (DJ Mix),Dua Lipa,2020-08-28,159733,46,0.623,0.0174,0.781,0.0,0.568,-6.823,0.0496,94.035,4
100,On The Floor,Love?,Jennifer Lopez,2011-01-01,284866,80,0.73,0.105,0.777,0.000478,0.0691,-5.194,0.0496,130.0,4
101,On The Floor,LOVE?,Jennifer Lopez,2011-01-01,284866,62,0.73,0.108,0.777,0.000467,0.069,-5.199,0.0479,130.0,4
102,I'm Real (feat. Ja Rule) - Murder Remix,J.Lo,Jennifer Lopez,2001-01-23,262133,69,0.708,0.273,0.587,0.0,0.0718,-7.93,0.151,83.46,4
103,Dance Again (feat. Pitbull),Dance Again...The Hits,Jennifer Lopez,2012-07-24,237266,69,0.792,0.0159,0.856,2.88e-06,0.0981,-5.236,0.067,127.988,4
104,Waiting for Tonight,On The 6,Jennifer Lopez,1999-06-01,246426,67,0.695,0.00341,0.945,0.0727,0.103,-6.165,0.0418,125.013,4
105,On The Floor - Radio Edit,On The Floor,Jennifer Lopez,2011-01-01,230906,75,0.758,0.0848,0.686,0.00127,0.142,-6.346,0.0792,130.007,4
106,Let's Get Loud,On The 6,Jennifer Lopez,1999-06-01,239400,70,0.82,0.135,0.937,0.000122,0.35,-4.81,0.0549,130.992,4
107,Ain't Your Mama,Ain't Your Mama,Jennifer Lopez,2016-04-07,218234,73,0.757,0.0472,0.678,9.14e-06,0.0654,-5.529,0.233,120.075,4
108,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,This Is Me...Then,Jennifer Lopez,2002-11-19,187840,63,0.844,0.00833,0.754,3.42e-06,0.0575,-5.46,0.207,100.002,4
109,All I Have (feat. LL Cool J),This Is Me...Then,Jennifer Lopez,2002-11-19,254466,57,0.699,0.265,0.668,0.0,0.141,-5.305,0.106,83.074,4
110,Love Don't Cost a Thing,J.Lo,Jennifer Lopez,2001-01-23,221226,69,0.786,0.00305,0.842,3.54e-06,0.473,-5.115,0.0707,97.577,4
111,If You Had My Love,On The 6,Jennifer Lopez,1999-06-01,266000,65,0.68,0.0645,0.625,5.81e-05,0.109,-7.0,0.0353,94.02,4
112,Get Right,Rebirth,Jennifer Lopez,2005-03-01,225533,59,0.741,0.0218,0.759,0.0,0.628,-5.096,0.12,97.084,4
113,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,Jenny From The Block - The Remixes,Jennifer Lopez,2002-09-26,189764,59,0.84,0.00736,0.762,3.77e-06,0.0615,-5.454,0.226,99.987,4
114,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Globalization,Pitbull,2014-11-21,222520,73,0.592,0.00879,0.935,0.0154,0.132,-4.317,0.0581,125.013,4
115,Play,J.Lo,Jennifer Lopez,2001-01-23,211493,58,0.775,0.0303,0.729,0.00247,0.0361,-4.229,0.162,104.719,4
116,On My Way (Marry Me),On My Way (Marry Me),Jennifer Lopez,2021-11-18,192571,53,0.591,0.119,0.334,0.0,0.123,-9.199,0.0295,127.068,4
117,Ain't It Funny (feat. Ja Rule & Cadillac Tah) - Murder Remix,J To Tha L-O! The Remixes,Jennifer Lopez,2002-02-05,229800,62,0.781,0.364,0.746,0.0,0.098,-2.686,0.17,89.43,4
118,On The Floor - Radio Edit,Sommer Klassiker,Various Artists,2023-05-22,230920,1,0.754,0.089,0.681,0.00103,0.131,-6.332,0.0753,130.013,4
119,Booty,Booty,Jennifer Lopez,2014-09-23,209699,61,0.709,0.00296,0.949,0.00022,0.26,-4.155,0.0509,128.966,4
120,On The Floor,Cultura Pop,Various Artists,2023-05-19,284866,1,0.73,0.106,0.775,0.000442,0.069,-5.198,0.0482,130.002,4
121,On The Floor - Radio Edit,Throwback Summer,Various Artists,2023-05-24,230920,0,0.754,0.089,0.681,0.00103,0.131,-6.332,0.0753,130.013,4
122,Dinero,Dinero,Jennifer Lopez,2018-05-17,213750,57,0.721,0.41,0.881,7.61e-06,0.292,-2.528,0.342,127.759,4
123,On The Floor,Queer Dance Party 2023,Various Artists,2023-05-27,284866,0,0.73,0.106,0.775,0.000442,0.069,-5.198,0.0482,130.002,4
124,On The Floor,LOVE? (Deluxe Edition),Jennifer Lopez,2011-01-01,284866,54,0.73,0.108,0.777,0.000467,0.069,-5.199,0.0479,130.0,4
125,Love of My Life,Marry Me (Original Motion Picture Soundtrack),Jennifer Lopez,2022-02-04,192473,53,0.775,0.135,0.61,3.23e-06,0.0972,-8.327,0.0455,125.033,4
126,Ain't It Funny,J.Lo,Jennifer Lopez,2001-01-23,245360,59,0.711,0.0804,0.87,0.000306,0.138,-4.513,0.0484,99.843,4
127,I'm Real (feat. Ja Rule),Dance Again...The Hits,Jennifer Lopez,2012-07-24,258946,34,0.706,0.326,0.57,0.0,0.0653,-7.533,0.146,83.458,4
128,Jennifer Lopez,Jalsa,Devi Sri Prasad,2008-02-28,258818,61,0.792,0.0784,0.916,8.64e-06,0.0435,-7.908,0.18,92.119,4
129,Feelin' So Good (feat. Big Pun & Fat Joe),On The 6,Jennifer Lopez,1999-06-01,326000,48,0.738,0.00437,0.84,0.00629,0.0807,-7.995,0.0606,107.755,4
130,Follow The Leader,Líderes,Wisin & Yandel,2012-01-01,240320,62,0.804,0.0287,0.88,9.88e-05,0.301,-4.05,0.159,123.118,4
131,Papi,Love?,Jennifer Lopez,2011-01-01,223493,61,0.705,0.134,0.805,0.000139,0.367,-4.887,0.0595,120.022,4
132,Adrenalina (feat. Jennifer Lopez & Ricky Martin),El Regreso del Sobreviviente (Deluxe Edition),Wisin,2014-03-18,235546,66,0.685,0.0856,0.944,0.0,0.0927,-2.793,0.145,124.987,4
133,No Me Ames (with Marc Anthony) - Ballad Version,On The 6,Jennifer Lopez,1999-06-01,278600,48,0.578,0.493,0.544,0.0,0.114,-6.812,0.0335,82.964,4
134,I'm Into You,Love?,Jennifer Lopez,2011-01-01,200133,61,0.592,0.0176,0.747,0.0,0.0752,-4.439,0.138,83.929,4
135,I'm Into You,LOVE?,Jennifer Lopez,2011-01-01,200133,42,0.592,0.0181,0.747,0.0,0.0752,-4.439,0.135,83.929,4
136,El Mismo Sol,Eterno Agosto,Alvaro Soler,2016-07-15,188093,61,0.715,0.0457,0.862,6.96e-06,0.0759,-5.634,0.0528,112.995,4
137,"Feel The Light - From The ""Home"" Soundtrack","Feel The Light (From The ""Home"" Soundtrack)",Jennifer Lopez,2015-02-25,291546,52,0.469,0.327,0.596,0.00697,0.093,-5.981,0.0505,155.708,4
138,All I Have (feat. LL Cool J) - Radio Edit,All I Have,Jennifer Lopez,2002-12-14,238093,44,0.712,0.233,0.675,0.0,0.132,-5.36,0.121,83.074,4
139,Back It Up (feat. Jennifer Lopez & Pitbull) - Video Version,Double Vision (Deluxe Edition),Prince Royce,2015-07-24,200920,56,0.724,0.139,0.78,0.0,0.0371,-6.772,0.0803,104.024,4
140,Ni Tú Ni Yo (feat. Gente de Zona),Ni Tú Ni Yo (feat. Gente de Zona),Jennifer Lopez,2017-07-04,215880,56,0.673,0.123,0.907,0.0,0.423,-3.716,0.074,109.04,4
141,Booty,A.K.A.,Jennifer Lopez,2014-06-17,203280,28,0.678,0.00306,0.95,4.89e-05,0.246,-4.602,0.0503,128.957,4
142,Live It Up,Live It Up,Jennifer Lopez,2013-01-01,243786,56,0.692,0.0131,0.728,0.0,0.329,-5.13,0.171,127.995,4
143,Papi,LOVE? (Deluxe Edition),Jennifer Lopez,2011-01-01,223493,33,0.705,0.134,0.805,0.000152,0.367,-4.884,0.0593,120.021,4
144,On My Way (Marry Me),Marry Me (Original Motion Picture Soundtrack),Jennifer Lopez,2022-02-04,192636,51,0.591,0.122,0.333,0.0,0.124,-9.196,0.029,127.201,4
145,Get Right (feat. Fabolous),Dance Again...The Hits,Jennifer Lopez,2012-07-24,231933,20,0.713,0.0811,0.747,0.0,0.644,-4.713,0.123,97.049,4
146,After Love (Part 1),Marry Me (Original Motion Picture Soundtrack),Jennifer Lopez,2022-02-04,165050,51,0.685,0.107,0.446,0.0,0.101,-8.674,0.0512,112.811,4
147,All I Have,10,LL COOL J,2002-10-08,254373,57,0.707,0.264,0.655,0.0,0.126,-5.704,0.103,83.087,4
148,Dance Again (feat. Pitbull),50 Pop Sensations,Various Artists,2014-06-10,237266,13,0.791,0.0158,0.856,2.73e-06,0.0981,-5.236,0.0668,127.997,4
149,"Limitless from the Movie ""Second Act""","Limitless from the Movie ""Second Act""",Jennifer Lopez,2018-11-16,247458,34,0.47,0.0299,0.848,1.1e-05,0.12,-3.508,0.0662,128.143,4
150,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over,Maroon 5,2010,201160,74,0.722,0.0111,0.758,0.0,0.308,-4.477,0.0471,128.047,4
151,Beautiful,Stripped,Christina Aguilera,2002-07-19,238560,71,0.456,0.578,0.573,3.05e-06,0.114,-3.866,0.0275,76.19,4
152,Feel This Moment (feat. Christina Aguilera),Global Warming: Meltdown (Deluxe Version),Pitbull,2012,229506,80,0.673,0.039,0.758,0.0,0.341,-3.632,0.158,135.956,4
153,Hurt,Back To Basics,Christina Aguilera,2006-08-14,243373,66,0.327,0.775,0.295,0.0,0.107,-6.907,0.0313,148.574,4
154,Fighter,Stripped,Christina Aguilera,2002-07-19,245960,69,0.435,0.235,0.92,0.000353,0.552,-1.357,0.201,188.899,4
155,Say Something,Is There Anybody Out There?,A Great Big World,2014-01-20,229400,75,0.407,0.857,0.147,2.89e-06,0.0913,-8.822,0.0355,141.284,3
156,Genie In a Bottle,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,217573,75,0.633,0.209,0.8,0.000123,0.137,-6.945,0.166,175.716,4
157,Dirrty (feat. Redman),Stripped,Christina Aguilera,2002-07-19,298853,70,0.64,0.107,0.889,0.0,0.339,-3.073,0.322,99.931,4
158,Do What U Want,Queer Dance Party 2023,Various Artists,2023-05-27,216573,0,0.777,0.342,0.801,1.06e-06,0.0881,-4.65,0.0863,97.47,4
159,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Musik till svensexan,Various Artists,2023-05-23,202859,0,0.708,0.012,0.784,0.0,0.368,-3.742,0.049,128.015,4
160,Just A Fool,Lotus (Deluxe Version),Christina Aguilera,2012-11-09,253746,58,0.566,0.0417,0.857,0.0,0.179,-2.85,0.0442,83.08,3
161,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Throwback Summer,Various Artists,2023-05-24,202859,0,0.708,0.012,0.784,0.0,0.368,-3.742,0.049,128.015,4
162,Bound To You - Burlesque Original Motion Picture Soundtrack,Burlesque Original Motion Picture Soundtrack,Various Artists,2010-11-22,263826,52,0.286,0.834,0.411,0.0,0.132,-4.94,0.0315,164.1,3
163,Lady Marmalade - Single Edit,Lady Marmalade,Various Artists,2001-06-26,267960,69,0.754,0.0185,0.811,5.18e-06,0.654,-3.679,0.0561,109.902,4
164,I Turn to You,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,273706,63,0.599,0.38,0.47,0.0,0.111,-8.356,0.0376,127.177,4
165,Candyman,Back To Basics,Christina Aguilera,2006-08-14,194213,69,0.686,0.0125,0.789,0.0147,0.142,-4.713,0.23,172.976,4
